Area,Title,Source,Collection,ID,A,B,C,C1,C2,D,E,F,G,H,H1,I,J,J1,J6,K1,K3,K7,L,M1,M3,M,N
Plains,Pawnee 1,"Dorsey, CI, Vol. 59, 56, no, 13",c. 1902 in Oklahoma,66,3,1,1,1,0,4,4,0,2,1,0,1,0,0,0,3,2,0,5,0,0,0,1
Plains,Pawnee 2,"Dorsey, MAFLS, Vol. 8, 60, no. 16.",collected before 1904,67,3,1,1,1,0,4,4,1,2,1,0,1,0,0,0,3,2,0,5,0,0,0,1
Plains,Pawnee 3,"Grinnell, JAFL, Vol. 7, 197","""several years"" before 1894",68,3,1,1,1,0,4,4,0,2,1,0,1,0,0,0,3,2,0,5,0,0,0,1
Plains,Oto,"Kercheval, JAFL, Vol. 6, 199",before 1893,69,2,1,1,0,0,4,4,7,1,1,0,1,3,0,0,3,1,0,1,0,0,0,0
Plains,Kiowa,"Mooney, RBAE, Vol. 17, 238",1892 in Oklahoma,70,1,2,0,0,0,1,3,0,2,1,1,1,0,0,0,3,0,0,5,0,0,0,1
Plains,Wichita 1,"Dorsey, CI, Vol. 21, 298, no. 57",1900-3 in Oklahom,71,1,1,0,0,0,4,4,1,1,1,2,1,5,0,1,3,8,0,1,0,0,6,0
Plains,Wichita 2,"Curtis, The North American Indian, Vol. 19, 102",n/a,72,1,1,1,2,0,4,4,1,1,0,0,0,0,0,0,3,8,0,1,0,0,6,0
Plains,Seama,"Espinosa, J AFL, Vol. 49, 88",1931,73,1,7,0,0,0,0,3,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,7
Southeast,Caddo,"Dorsey, CI, Vol. 41, 27, no. 14",1903-1905 in Oklahoma,74,1,1,1,1,0,4,4,1,1,0,0,2,5,0,2,3,9,0,1,0,0,6,0
Southeast,Caddo 2,"Dorsey, CI, Vol. 41, 29, no. 15",1903-5 in Oklahoma,75,1,1,0,0,0,4,4,1,1,1,2,1,5,0,3,3,8,0,1,0,0,0,0
Southeast,Koasati,"Swanton, BBAE, Vol. 88, 166, no. 4",1908-14,76,2,1,1,0,0,4,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Woodland,Ojibwa 1,"Speck, GSCan, Vol. 9, 47","1913, Bear Island, Lake Timazami.-",77,2,1,1,0,0,4,4,4,1,0,0,3,2,0,0,8,6,0,1,0,0,0,3
Woodland,Ojibwa 2,"Jones, JAFL, Vol. 29, 371, no. 15","before 1915 at Bois Fort, north of Lake Superiol",78,2,0,1,0,0,4,4,0,1,0,0,3,2,0,0,2,0,0,1,0,0,0,3
Woodland,Ojibwa 3,"Jones-Michelson, PAES, Vol. 7 (II), 151, no. 13",before 1919,79,2,1,1,0,0,4,4,4,1,0,0,3,2,0,0,2,0,0,1,0,0,0,3
Woodland,Ojibwa 4,"Jones-Michelson, PAES, Vol. 7 (II), 455, no. 55",before 1919,80,2,1,1,0,0,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Woodland,Ojibwa 5,"Radin and Reagan, JAFL, Vol. 41, 116, no. 22","1911-14 at Sarnia, Ontario",81,2,1,1,0,0,4,4,4,1,0,0,3,2,0,0,7,0,1,6,0,0,0,0
Woodland,Micmac 1,"Rand, Legends of the Micmacs (New York, 1894), p. 160, no. 20","c. 1870 in Falmouth, Nova Scotia",82,2,1,1,0,0,4,4,5,1,4,0,0,4,0,0,7,0,0,1,0,0,0,3
Woodland,Micmac 2,"Rand, Legends of the Micmacs (New York, 1894), p. 306, no. 55","September 7, 1870 from Susan Christmas",83,2,1,1,0,0,4,4,12,1,5,2,1,0,0,0,0,0,0,1,0,0,0,3
Woodland,Micmac 3,"Parsons, JAFL, Vol. 38, 65",Learned from a woman who died in 1895. People report hearing stories from her in 187,84,2,1,1,0,0,4,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodland,Passamaquoddy 1,"Prince, PAES, Vol. 10, 61, no. 12","c. 1912 near Eastport, Maine",85,2,1,1,0,0,4,4,5,1,5,2,1,4,0,0,0,0,0,1,0,0,0,3
Woodland,Passamaquoddy 2,"Leland, Algonquin Legends of New England (Boston 1885), p.140","1882 at Campobello, New Brunswick",86,2,1,1,0,0,4,4,5,1,5,2,1,0,0,0,7,0,2,1,0,0,0,3
